"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Admin Product Management","1","0","Enable a product","0"
"0","","0","Edit Account Information","4","0","Edit account with invalid info","0"
"0","","0","Admin Product Management","1","0","Edit an existing product","0"
"0","","0","Admin Reports Management","1","0","View Sales Report","0"
"0","","0","Authentication","3","0","check login with invalid data","0"
"0","","0","Admin Orders Management","1","0","View order details","0"
"0","","0","Order Management","1","0","View order history","0"
"0","","0","Browse Products by Category","1","0","Open a category page","0"
"0","","0","AddressManagement","1","0","Add a new address successfully","0"
"0","","0","Admin Reports Management","1","0","View Customer Orders Report","0"
"0","","0","Admin Reports Management","1","0","Filter Sales Report by date range","0"
"0","","0","Product Search","1","0","Search for an existing product","0"
"0","","0","Admin Reports Management","1","0","View Customer Reward Points Report","0"
"0","","0","Admin Orders Management","1","0","Filter orders by customer name","0"
"0","","0","Admin Product Management","1","0","Delete an existing product","0"
"0","","0","Admin Product Management","1","0","Disable a product","0"
"0","","0","Order Management","1","0","View order status","0"
"0","","0","AddressManagement","1","0","Delete an address successfully","0"
"0","","0","Add Product to Cart","1","0","Verify empty cart message","0"
"0","","0","Admin Reports Management","1","0","View Products Purchased Report","0"
"0","","0","User Registration","1","0","Successful user registration","0"
"0","","0","Admin Orders Management","1","0","Change order status","0"
"0","","0","Change Password","3","0","Change Password - Invalid","0"
"0","","0","Authentication","1","0","check login with valid data","0"
"0","","0","Product Details Visibility","1","0","Verify product price format and currency","0"
"0","","0","Checkout and Order Flow on OpenCart Demo","1","0","Enter valid shipping and billing details","0"
"0","","0","Admin Product Management","1","0","View all products","0"
"0","","0","Admin Reports Management","1","0","Filter Customer Orders by customer name","0"
"0","","0","Admin Product Management","1","0","Add a new product","0"
"0","","0","Admin Reports Management","1","0","View Products Viewed Report","0"
"0","","0","Admin Orders Management","1","0","Search for an order by order ID","0"
"0","","0","Checkout and Order Flow on OpenCart Demo","1","0","Proceed to checkout with valid cart items","0"
"0","","0","Checkout and Order Flow on OpenCart Demo","1","0","Verify success message after order placement","0"
"0","","0","Change Password","1","0","Change password - Valid","0"
"0","","0","Checkout and Order Flow on OpenCart Demo","1","0","Select payment method successfully","0"
"0","","0","Edit Account Information","1","0","Edit account with valid first and last name","0"
"0","","0","Admin Product Management","1","0","Search for a product by name","0"
"0","","0","Admin Login","1","0","Invalid admin login","0"
"0","","0","Admin Login","1","0","Successful admin login","0"
"0","","0","Checkout and Order Flow on OpenCart Demo","1","0","Review order before confirming","0"
"0","","0","AddressManagement","1","0","Edit an existing address","0"
"0","","0","Password Reset","1","0","Successful password reset request","0"
"0","","0","Add Product to Cart","1","0","Verify adding a product to the cart","0"
"0","","0","Product Details Visibility","1","0","Verify product details visibility","0"
"0","","0","Admin Orders Management","1","0","View all orders","0"
